,date,time,location,operator,flight #,pathway,type,registration,cn/in,aboard,fatalities,ground,summary
841,01/12/1947,01:38,"near galax, virginia",eastern air lines,665,"akron, oh - winston/salem, nc",douglas dc-3,nc88872,3274,19.0,18,0.0,"the aircraft flew into the ground at an altitude of 2,500 ft., 63 miles northwest of winston-salem. the pilot took an unapproved route and let down without having positively determined the position of the aircraft.  a contributing factor was the erroneous navigation of the pilot which on at least two occasions led him to believe that he was farther south than he actually was."
865,04/28/1947,23:13,"near vancouver, british columbia, canada",trans canada air lines,3,lethbridge - vancouver,lockheed 18 loadstar,cf-tdf,18-2248,15.0,15,0.0,"the aircraft disappeared while en route from lethbridge, alberta to vancouver, british columbia. the last known position was over vancouver airport. the wreckage was discovered and identified in september 1994 in a remote area, 10 miles north of vancouver near mt. seymour."
869,05/29/1947,19:05,"la guardia airport, queens, new york",united air lines,521,new york city - cleveland,douglas c-54b,nc30046,18324,48.0,43,0.0,"the aircraft overran the runway during an attempted takeoff, crashed and caught fire. either the failure of the pilot to release the gust lock before take-off or his decision to discontinue the take-off because of apprehension resulting from rapid use of a short runway under a possible calm wind condition."
870,05/30/1947,17:41,"port deposit, maryland",eastern air lines,605,newark - baltimore - miami,douglas c-54b-15-do,nc88814,18380,53.0,53,0.0,"while on approach to baltimore at 4,000 ft., the plane suddenly went into a nose dive, inverted and crashed.  possible problems with the elevator. the official cause was never determined."
873,06/13/1947,18:16,"leesburg, virginia",pennsylvania central airlines,410,pittsburgh - washington d.c.,douglas dc-4 (c-54-do),nc88842,3112,50.0,50,0.0,"the aircraft crashed into a ridge at lookout rock, 8 miles se of charles town, wv during a rainstorm. the action of the pilot in descending below the minimum en route altitude under conditions of weather which prevented adquate visual reference to the ground.  a contributing cause was the faulty clearance given by atc."
874,06/19/1947,23:40,"al mayadin, syria",pan american world airways,121,karachi - istanbul,lockheed 049-46-21 constellation,nc88845,2045,36.0,14,0.0,"while on a flight originating in new york and making its inaugural westbound flight of round-the-world service, the aircraft's no. 1 engine failed half-way on a leg from karachi to istanbul. due to closed airports and inadequate repair facilities, the pilot chose to continue to its destination. several hours later, the remaining engines overheated and the no.2 engine caught fire causing the plane to crash. gene roddenberry (creator of star trek) was a deadheading pan am pilot aboard, who helped rescue many of the passengers.  the crash was blamed on pan am's failure to replace the no. 2 engine which had experienced several problems earlier.  a fire which resulted from an attempt to feather the no. 2 propeller after the failure of the no. 2 engine thrust bearing. the aircraft was named clipper eclipse."
889,10/08/1947,07:55,"near el paso, texas",american airlines,311,new york city - dallas - los angeles,douglas dc-4,nc90432,10314/dc45,54.0,0,0.0,"while cruising at 8,000 ft. in clear weather, the aircraft went into steep dive which the co-pilot was able to pull out of at 350 feet from the ground.  as a prank, a captain riding in the jump seat, engaged the gust lock in flight. the command pilot, not knowing the gust lock was engaged, rolled the elevator trim tab with no response. when the jump seat captain disengaged the gust lock,the aircraft went into a steep dive, executed part of an outside roll and become inverted. neither the command nor jump seat captain had seat belts on and they accidentally feathered no. 1, 2 and 4 engines when they hit the controls with their heads.  no one realized it at the time but the feathering reduced power and allowed the co-pilot, who was strapped in, to pull out of the dive."
892,10/24/1947,12:29,"bryce canyon, utah",united air lines,608,los angeles - new york city,douglas dc-6,nc37510,42875/17,53.0,53,0.0,"fire was reported on board the aircraft before it crashed.  an almost identical accident with the same cause occurred on 11/11/47. the flight crew transferred fuel either intentionally or inadvertently from the no. 4 alternate tanks to the no. 3 alternate tanks and failed to stop the transfer process in time to avoid overflowing the no. 3 alternate tank. gasoline flowed through the no. 3 alternate vent line, out the vent, and was carried back by the slip stream, entering the cabin heater combustion air intake scoop. when the cabin heater came on an explosion and fire  occurred. the fire was fueled by magnesium flares strored in the cabin heater compartment. caused by a design flaw in the aircraft which allowed vented fuel to be carried back into the cabin heater air intake."
893,10/26/1947,13:45,"annette island, alaska",pan american world airways,923,seattle - juneau,douglas dc-4a,nc88920,10317,18.0,18,0.0,the aircraft crashed into tamgas mountain after abandoning an approach to annette island because of extreme turbulence and radioing its intentions to proceed to juneau. possible severe turbulence or icing. official cause unknown. the aircraft was named clipper talisman ii.
894,10/26/1947,17:20,"near mt. hymettus, greece",ab aerotransport,1629,istanbul-athens-rome-geneve-copenhagen-stockholm,douglas dc-4-1009,se-bbg,42930/45,44.0,44,0.0,"the aircraft crashed into mt. hymettus while on approach to hassani airport in a severe rainstorm. the captain, john douglas, probably tried to force the landing due to the weather conditions, when the belly of the aircraft hit the summit, resulting in loss of control, crash and fire. the pilot did not properly follow ifr procedures. the wreckage was found the next morning with the corpses of the victims plundered (the victim's pockets were found to be turned inside-out). the aircraft was named 'sunnan.'"
906,11/30/1947,14:25,"seattle, washington",alaska airlines,009,anchorage - seattle,douglas c-54a,nc-91009,7453,28.0,8,1.0,"the plane attempted to land at boeing field but aborted the landing because of low ceiling and visibility. during a second landing attempt, the aircraft touched down 2,748 feet beyond the approach end of runway 20, ran past the end of the runway, hit an automobile killing one person, crashed into a ditch and burst into flames. caused by the landing of the airplane too far from the approach end of a wet runway and at a speed too great to accomplish a full stop on the runway."
917,01/13/1948,04:36,"oxon hill, maryland",eastern air lines,572,atlanta - washington d.c.,douglas dc-3-201f,nc28384,4092,9.0,5,0.0,"the aircraft crashed during approach, 5.2 miles short of the runway, in poor weather conditions. failure of the crew to follow prescribed  procedures and maintain a safe altitude during an ils approach."
932,03/10/1948,22:58,"chicago, illinois",delta air lines,700,chicago - miami,douglas dc-4,nc37478,18390,13.0,12,0.0,"during takeoff, the aircraft went into a near vertical climb to an altitude of 500 - 800 feet, stalled and crashed.  loss of longitudinal control of the airplane for reasons undetermined."
933,03/12/1948,21:14,"mt. sanford, alaska",northwest orient airlines,4422,anchorage - new york city,douglas dc-4 (c-54g-1-do),nc95422,35966/do360,30.0,30,0.0,"on a charter flight from lunghwa airport, shanghai to la guardia airport, new york the plane crashed into the western slope of mt. sanford at an altitude of 11,000 feet after taking off from anchorage, alaska. pilot's failure to see mt. sanford due to obscuring clouds or aurora borealis while flying a course off the airway."
